JUGADOR;CLUB;NACIONALIDAD;GOLES;AUTOGOL
MEJIA DIAZ MARLON MAURICIO;C.S.EMELEC;ECUATORIANA;1;No
MERA MOREIRA EFREN ALEXANDER;INDEPENDIENTE DEL VALLE;ECUATORIANA;5;No
MINA CORTEZ GLENDYS CARLOS;MUSHUC RUNA S.C.;ECUATORIANA;1;No
MINA CUERO BYRON ANDRES;MUSHUC RUNA S.C.;ECUATORIANA;2;No
MINA JARAMILLO SERGIO DANILO;FUERZA AMARILLA S.C.;ECUATORIANA;3;No
MINA QUIÑONEZ KEVIN JOSUE;C.D.OLMEDO;ECUATORIANA;3;No
MONTAÑO ANGULO EDSON ELI;S.D.AUCAS;ECUATORIANA;8;No
MONTEVERDE ARMANDO ANDRES;AMERICA;ECUATORIANA;1;No
MORA PEÑARANDA FERNANDO DAVID;TECNICO U.;ECUATORIANA;5;No
MOSQUERA BORJA MARCO ROBERTO;S.D.AUCAS;ECUATORIANA;1;No
MOSQUERA PEREA CARLOS ANDRES;TECNICO U.;COLOMBIANA;3;No
MOSQUERA PEREA YUBER ANTONIO;U.CATOLICA;COLOMBIANA;2;No
MUÑOZ CERVANTES ADOLFO ALEJANDRO;L.D.U.QUITO;ECUATORIANA;1;No
NAZARENO SIMISTERRA GEOVANNY ENRIQUE;DELFIN S.C.;ECUATORIANA;2;Sí
OJEDA SERGIO MAXIMILIANO;D.CUENCA;ARGENTINA;2;No
OJEDA SERGIO MAXIMILIANO;D.CUENCA;ARGENTINA;1;Sí
ORDOÑEZ AYOVI ROBERTO JAVIER;DELFIN S.C.;ECUATORIANA;8;No
ORDOÑEZ AYOVI ROBERTO JAVIER;DELFIN S.C.;ECUATORIANA;1;Sí
ORDOÑEZ GALARCE JORGE ANTONIO;EL NACIONAL;ECUATORIANA;4;No
OREJUELA QUIÑONEZ CARLOS ALFREDO;C.S.EMELEC;ECUATORIANA;3;No
ORLANDO MURIEL JUAN;C.D.OLMEDO;ARGENTINA;8;No
ORTIZ CONTRERAS JAIME ANDRES;S.D.AUCAS;ECUATORIANA;1;No
ORTIZ NICOLAS DARIO;C.D.OLMEDO;ARGENTINA;2;No
ORZAN HORACIO DE DIOS;MUSHUC RUNA S.C.;ARGENTINA;1;No
PALACIOS AVILA JORGE LUIS;MUSHUC RUNA S.C.;ECUATORIANA;5;No
PARRALES VERA MIGUEL ENRIQUE;EL NACIONAL;ECUATORIANA;2;No
PATTA QUINTERO HENRY LEONEL;MUSHUC RUNA S.C.;ECUATORIANA;1;No
PELLERANO CRISTIAN ALBERTO;INDEPENDIENTE DEL VALLE;ARGENTINA;5;No
PENAYO QUIÑONEZ HECTOR MIGUEL;FUERZA AMARILLA S.C.;ECUATORIANA;5;No
PERLAZA CAICEDO PEDRO PABLO;DELFIN S.C.;ECUATORIANA;2;No
PERLAZA LEIVA JONATHAN EZEQUIEL;GUAYAQUIL CITY F.C.;ECUATORIANA;2;No
PERNIA MARTINEZ EDWUIN ALEXANDER;C.S.EMELEC;VENEZOLANA;1;No
PINEIDA MARTINEZ MARIO ALBERTO;BARCELONA S.C.;ECUATORIANA;1;No
PIÑATARES PRIETO BRUNO;DELFIN S.C.;URUGUAYA;2;No
PIÑATARES PRIETO BRUNO;DELFIN S.C.;URUGUAYA;1;Sí
PITA MINA JACSON MAURICIO;D.CUENCA;ECUATORIANA;1;No
POROZO LANDAZURI EDWIN ISAIAS;FUERZA AMARILLA S.C.;ECUATORIANA;2;No
